SITIO 1,,SITIO 2,,SITIO 3,,SITIO 4,,SITIO 5,,SITIO 6,,SITIO 7,
verde claro,15,Rosa fuerte,3,Naranja,8,Morado,41,Amarillo,4,Rosa fuerte,9,Morado,13
amarillo,3,Rosa claro,2,Morado,9,,,Verde fuerte,9,Amarilo,9,Verde claro,1
rosa fuerte,5,Rosa palo,2,Azul fuerte,5,,,Verde claro,4,Rojo,10,Azul fuerte,12
rosa claro,4,Aul fuerte,3,Rosa claro,6,,,Azul neblina,3,Rosa claro,10,Rojo,12
rojo,2,Azul cielo,14,Rosa palo,7,,,Azul claro,5,Morado,10,Rosa fuerte,12
verde fuerte,10,Azul neblina,10,Amarillo,1,,,Naranja,5,Rosa palo,10,Naranja,11
azul claro,8,Rojo,2,Rosa fuerte,2,,,Rojo,5,Azul claro,4,Azul claro,4
azul fuerte,17,Verde claro,1,Rojo,1,,,Rosa palo,1,Azul fuerte,9,Azul neblina,7
naranja,2,Verde fuerte,1,,,,,Rosa claro,2,Azul neblina,6,Rosa claro,2
morado,1,,,,,,,Azul fuerte,7,Naranja,9,Verde fuerte,3
total,67,,38,,39,,41,Morado,2,Verde fuerte,3,,77
,,,,,,,,Rosa fuerte,3,Verde claro,5,,
,,,,,,,,,50,0,94,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SITIO 1,,SITIO 2,,SITIO 3,,SITIO 4,,SITIO 5,,SITIO 6,,SITIO 7,
Total,Esp. dif.,Total,Esp. dif.,Total,Esp. dif.,Total,Esp. dif.,Total,Esp. dif.,Total,Esp. dif.,Total,Esp. dif.
14,7,17,7,12,6,12,1,13,8,25,12,11,5
20,2,18,2,12,1,16,0,16,4,28,0,34,5
19,1,3,0,7,1,12,0,13,0,41,0,22,0
14,0,,,8,0,1,0,8,0,,,10,0
67,10,38,9,39,8,41,1,50,12,94,12,77,10
